# (t) 	 (c tau) 	 (p(zD,t))
2.61333e-06 	 -0.108 	 0
2.62e-06 	 -0.107 	 0
2.62667e-06 	 -0.106 	 0
2.63333e-06 	 -0.105 	 0
2.64e-06 	 -0.104 	 0
2.64667e-06 	 -0.103 	 0
2.65333e-06 	 -0.102 	 0
2.66e-06 	 -0.101 	 0
2.66667e-06 	 -0.1 	 0
2.67333e-06 	 -0.099 	 0
2.68e-06 	 -0.098 	 0
2.68667e-06 	 -0.097 	 0
2.69333e-06 	 -0.096 	 0
2.7e-06 	 -0.095 	 0
2.70667e-06 	 -0.094 	 0
2.71333e-06 	 -0.093 	 0
2.72e-06 	 -0.092 	 0
2.72667e-06 	 -0.091 	 0
2.73333e-06 	 -0.09 	 0
2.74e-06 	 -0.089 	 0
2.74667e-06 	 -0.088 	 0
2.75333e-06 	 -0.087 	 0
2.76e-06 	 -0.086 	 0
2.76667e-06 	 -0.085 	 0
2.77333e-06 	 -0.084 	 0
2.78e-06 	 -0.083 	 0
2.78667e-06 	 -0.082 	 0
2.79333e-06 	 -0.081 	 0
2.8e-06 	 -0.08 	 0
2.80667e-06 	 -0.079 	 0
2.81333e-06 	 -0.078 	 0
2.82e-06 	 -0.077 	 0
2.82667e-06 	 -0.076 	 0
2.83333e-06 	 -0.075 	 0
2.84e-06 	 -0.074 	 0
2.84667e-06 	 -0.073 	 0
2.85333e-06 	 -0.072 	 0
2.86e-06 	 -0.071 	 0
2.86667e-06 	 -0.07 	 0
2.87333e-06 	 -0.069 	 0
2.88e-06 	 -0.068 	 0
2.88667e-06 	 -0.067 	 0
2.89333e-06 	 -0.066 	 0
2.9e-06 	 -0.065 	 0
2.90667e-06 	 -0.064 	 0
2.91333e-06 	 -0.063 	 0
2.92e-06 	 -0.062 	 0
2.92667e-06 	 -0.061 	 0
2.93333e-06 	 -0.06 	 0
2.94e-06 	 -0.059 	 0
2.94667e-06 	 -0.058 	 0
2.95333e-06 	 -0.057 	 0
2.96e-06 	 -0.056 	 0
2.96667e-06 	 -0.055 	 0
2.97333e-06 	 -0.054 	 0
2.98e-06 	 -0.053 	 0
2.98667e-06 	 -0.052 	 0
2.99333e-06 	 -0.051 	 0
3e-06 	 -0.05 	 0
3.00667e-06 	 -0.049 	 0
3.01333e-06 	 -0.048 	 0
3.02e-06 	 -0.047 	 0
3.02667e-06 	 -0.046 	 0
3.03333e-06 	 -0.045 	 0
3.04e-06 	 -0.044 	 0
3.04667e-06 	 -0.043 	 0
3.05333e-06 	 -0.042 	 0
3.06e-06 	 -0.041 	 0
3.06667e-06 	 -0.04 	 0
3.07333e-06 	 -0.039 	 0
3.08e-06 	 -0.038 	 0
3.08667e-06 	 -0.037 	 0
3.09333e-06 	 -0.036 	 0
3.1e-06 	 -0.035 	 0
3.10667e-06 	 -0.034 	 0
3.11333e-06 	 -0.033 	 0
3.12e-06 	 -0.032 	 0
3.12667e-06 	 -0.031 	 0
3.13333e-06 	 -0.03 	 0
3.14e-06 	 -0.029 	 0
3.14667e-06 	 -0.028 	 0
3.15333e-06 	 -0.027 	 0
3.16e-06 	 -0.026 	 0
3.16667e-06 	 -0.025 	 0
3.17333e-06 	 -0.024 	 0
3.18e-06 	 -0.023 	 0
3.18667e-06 	 -0.022 	 0
3.19333e-06 	 -0.021 	 0
3.2e-06 	 -0.02 	 0
3.20667e-06 	 -0.019 	 0
3.21333e-06 	 -0.018 	 0
3.22e-06 	 -0.017 	 0
3.22667e-06 	 -0.016 	 0
3.23333e-06 	 -0.015 	 0
3.24e-06 	 -0.014 	 0
3.24667e-06 	 -0.013 	 0
3.25333e-06 	 -0.012 	 0
3.26e-06 	 -0.011 	 0
3.26667e-06 	 -0.01 	 0
3.27333e-06 	 -0.009 	 0
3.28e-06 	 -0.008 	 0
3.28667e-06 	 -0.007 	 0
3.29333e-06 	 -0.006 	 0
3.3e-06 	 -0.005 	 0
3.30667e-06 	 -0.004 	 0
3.31333e-06 	 -0.003 	 0.015408
3.32e-06 	 -0.002 	 0.0458446
3.32667e-06 	 -0.001 	 0.0758505
3.33333e-06 	 0 	 0.105139
3.34e-06 	 0.001 	 0.118128
3.34667e-06 	 0.002 	 0.115858
3.35333e-06 	 0.003 	 0.113708
3.36e-06 	 0.004 	 0.11149
3.36667e-06 	 0.005 	 0.109301
3.37333e-06 	 0.006 	 0.107207
3.38e-06 	 0.007 	 0.104816
3.38667e-06 	 0.008 	 0.102006
3.39333e-06 	 0.009 	 0.0995189
3.4e-06 	 0.01 	 0.0949732
3.40667e-06 	 0.011 	 0.0880681
3.41333e-06 	 0.012 	 0.0809565
3.42e-06 	 0.013 	 0.0721308
3.42667e-06 	 0.014 	 0.0628507
3.43333e-06 	 0.015 	 0.0540888
3.44e-06 	 0.016 	 0.0442954
3.44667e-06 	 0.017 	 0.035945
3.45333e-06 	 0.018 	 0.0267758
3.46e-06 	 0.019 	 0.0180758
3.46667e-06 	 0.02 	 0.0119539
3.47333e-06 	 0.021 	 0.00439384
3.48e-06 	 0.022 	 -0.00102885
3.48667e-06 	 0.023 	 -0.00606828
3.49333e-06 	 0.024 	 -0.012129
3.5e-06 	 0.025 	 -0.015678
3.50667e-06 	 0.026 	 -0.0188616
3.51333e-06 	 0.027 	 -0.021927
3.52e-06 	 0.028 	 -0.0235042
3.52667e-06 	 0.029 	 -0.0258567
3.53333e-06 	 0.03 	 -0.0282112
3.54e-06 	 0.031 	 -0.0281773
3.54667e-06 	 0.032 	 -0.0288294
3.55333e-06 	 0.033 	 -0.0296388
3.56e-06 	 0.034 	 -0.0300923
3.56667e-06 	 0.035 	 -0.0307805
3.57333e-06 	 0.036 	 -0.0308357
3.58e-06 	 0.037 	 -0.031059
3.58667e-06 	 0.038 	 -0.0299023
3.59333e-06 	 0.039 	 -0.0292492
3.6e-06 	 0.04 	 -0.0299087
3.60667e-06 	 0.041 	 -0.0291107
3.61333e-06 	 0.042 	 -0.0286695
3.62e-06 	 0.043 	 -0.0285355
3.62667e-06 	 0.044 	 -0.0280848
3.63333e-06 	 0.045 	 -0.0277442
3.64e-06 	 0.046 	 -0.0270105
3.64667e-06 	 0.047 	 -0.0263186
3.65333e-06 	 0.048 	 -0.0252528
3.66e-06 	 0.049 	 -0.0245687
3.66667e-06 	 0.05 	 -0.0247822
3.67333e-06 	 0.051 	 -0.024387
3.68e-06 	 0.052 	 -0.0237128
3.68667e-06 	 0.053 	 -0.0232249
3.69333e-06 	 0.054 	 -0.0223528
3.7e-06 	 0.055 	 -0.0218735
3.70667e-06 	 0.056 	 -0.0215757
3.71333e-06 	 0.057 	 -0.0211677
3.72e-06 	 0.058 	 -0.0210946
3.72667e-06 	 0.059 	 -0.0204018
3.73333e-06 	 0.06 	 -0.019813
3.74e-06 	 0.061 	 -0.0192909
3.74667e-06 	 0.062 	 -0.0183212
3.75333e-06 	 0.063 	 -0.0183283
3.76e-06 	 0.064 	 -0.0184189
3.76667e-06 	 0.065 	 -0.0179276
3.77333e-06 	 0.066 	 -0.0174529
3.78e-06 	 0.067 	 -0.0171664
3.78667e-06 	 0.068 	 -0.0162982
3.79333e-06 	 0.069 	 -0.0159355
3.8e-06 	 0.07 	 -0.016249
3.80667e-06 	 0.071 	 -0.0154178
3.81333e-06 	 0.072 	 -0.0147611
3.82e-06 	 0.073 	 -0.0147152
3.82667e-06 	 0.074 	 -0.0142414
3.83333e-06 	 0.075 	 -0.0140246
3.84e-06 	 0.076 	 -0.0141871
3.84667e-06 	 0.077 	 -0.0136881
3.85333e-06 	 0.078 	 -0.0130084
3.86e-06 	 0.079 	 -0.0129522
3.86667e-06 	 0.08 	 -0.0126118
3.87333e-06 	 0.081 	 -0.0120824
3.88e-06 	 0.082 	 -0.0122108
3.88667e-06 	 0.083 	 -0.0118986
3.89333e-06 	 0.084 	 -0.0115688
3.9e-06 	 0.085 	 -0.0116138
3.90667e-06 	 0.086 	 -0.0109455
3.91333e-06 	 0.087 	 -0.0106277
3.92e-06 	 0.088 	 -0.0105773
3.92667e-06 	 0.089 	 -0.0101392
3.93333e-06 	 0.09 	 -0.0100118
3.94e-06 	 0.091 	 -0.010015
3.94667e-06 	 0.092 	 -0.00960486
3.95333e-06 	 0.093 	 -0.00932501
3.96e-06 	 0.094 	 -0.00941259
3.96667e-06 	 0.095 	 -0.00896935
3.97333e-06 	 0.096 	 -0.0088112
3.98e-06 	 0.097 	 -0.0108371
3.98667e-06 	 0.098 	 -0.0145788
3.99333e-06 	 0.099 	 -0.0185618
4e-06 	 0.1 	 -0.0223249
4.00667e-06 	 0.101 	 -0.0238957
4.01333e-06 	 0.102 	 -0.0233508
4.02e-06 	 0.103 	 -0.0227877
4.02667e-06 	 0.104 	 -0.0224336
4.03333e-06 	 0.105 	 -0.0221015
4.04e-06 	 0.106 	 -0.0216497
4.04667e-06 	 0.107 	 -0.0209506
4.05333e-06 	 0.108 	 -0.0200164
4.06e-06 	 0.109 	 -0.018932
4.06667e-06 	 0.11 	 -0.0176783
4.07333e-06 	 0.111 	 -0.0161735
4.08e-06 	 0.112 	 -0.0145905
4.08667e-06 	 0.113 	 -0.0130019
4.09333e-06 	 0.114 	 -0.0113874
4.1e-06 	 0.115 	 -0.00997815
4.10667e-06 	 0.116 	 -0.00859632
4.11333e-06 	 0.117 	 -0.00726804
4.12e-06 	 0.118 	 -0.0061388
4.12667e-06 	 0.119 	 -0.0051395
4.13333e-06 	 0.12 	 -0.00427997
4.14e-06 	 0.121 	 -0.00354884
4.14667e-06 	 0.122 	 -0.00290835
4.15333e-06 	 0.123 	 -0.00235537
4.16e-06 	 0.124 	 -0.00190489
4.16667e-06 	 0.125 	 -0.00153124
4.17333e-06 	 0.126 	 -0.00122386
4.18e-06 	 0.127 	 -0.00097602
4.18667e-06 	 0.128 	 -0.000772165
4.19333e-06 	 0.129 	 -0.000605957
4.2e-06 	 0.13 	 -0.000476344
4.20667e-06 	 0.131 	 -0.000370493
4.21333e-06 	 0.132 	 -0.000288234
4.22e-06 	 0.133 	 -0.000224352
4.22667e-06 	 0.134 	 -0.000171453
4.23333e-06 	 0.135 	 -0.000131295
4.24e-06 	 0.136 	 -0.000100531
4.24667e-06 	 0.137 	 -7.69859e-05
4.25333e-06 	 0.138 	 -5.85834e-05
4.26e-06 	 0.139 	 -4.42111e-05
4.26667e-06 	 0.14 	 -3.31785e-05
4.27333e-06 	 0.141 	 -2.48543e-05
4.28e-06 	 0.142 	 -1.87304e-05
4.28667e-06 	 0.143 	 -1.39193e-05
4.29333e-06 	 0.144 	 -1.03552e-05
4.3e-06 	 0.145 	 -7.69601e-06
4.30667e-06 	 0.146 	 -5.63717e-06
4.31333e-06 	 0.147 	 -4.17365e-06
4.32e-06 	 0.148 	 -3.09988e-06
4.32667e-06 	 0.149 	 -2.26623e-06
4.33333e-06 	 0.15 	 -1.66765e-06
4.34e-06 	 0.151 	 -1.2232e-06
4.34667e-06 	 0.152 	 -8.91614e-07
4.35333e-06 	 0.153 	 -6.47177e-07
4.36e-06 	 0.154 	 -4.65182e-07
4.36667e-06 	 0.155 	 -3.32992e-07
4.37333e-06 	 0.156 	 -2.41371e-07
4.38e-06 	 0.157 	 -1.7634e-07
4.38667e-06 	 0.158 	 -1.26473e-07
4.39333e-06 	 0.159 	 -8.94354e-08
4.4e-06 	 0.16 	 -6.40059e-08
4.40667e-06 	 0.161 	 -4.55814e-08
4.41333e-06 	 0.162 	 -3.23299e-08
4.42e-06 	 0.163 	 -2.29041e-08
4.42667e-06 	 0.164 	 -1.63923e-08
4.43333e-06 	 0.165 	 -1.15182e-08
4.44e-06 	 0.166 	 -7.99983e-09
4.44667e-06 	 0.167 	 -5.65725e-09
4.45333e-06 	 0.168 	 -3.60993e-09
4.46e-06 	 0.169 	 -2.08379e-09
4.46667e-06 	 0.17 	 -1.00171e-09
4.47333e-06 	 0.171 	 -2.53632e-10
4.48e-06 	 0.172 	 0
4.48667e-06 	 0.173 	 0
4.49333e-06 	 0.174 	 0
4.5e-06 	 0.175 	 0
4.50667e-06 	 0.176 	 0
4.51333e-06 	 0.177 	 0
4.52e-06 	 0.178 	 0
4.52667e-06 	 0.179 	 0
4.53333e-06 	 0.18 	 0
4.54e-06 	 0.181 	 0
4.54667e-06 	 0.182 	 0
4.55333e-06 	 0.183 	 0
4.56e-06 	 0.184 	 0
4.56667e-06 	 0.185 	 0
4.57333e-06 	 0.186 	 0
4.58e-06 	 0.187 	 0
4.58667e-06 	 0.188 	 0
4.59333e-06 	 0.189 	 0
4.6e-06 	 0.19 	 0
4.60667e-06 	 0.191 	 0
4.61333e-06 	 0.192 	 0
4.62e-06 	 0.193 	 0
4.62667e-06 	 0.194 	 0
4.63333e-06 	 0.195 	 0
4.64e-06 	 0.196 	 0
4.64667e-06 	 0.197 	 0
4.65333e-06 	 0.198 	 0
4.66e-06 	 0.199 	 0
4.66667e-06 	 0.2 	 0
4.67333e-06 	 0.201 	 0
4.68e-06 	 0.202 	 0
4.68667e-06 	 0.203 	 0
4.69333e-06 	 0.204 	 0
4.7e-06 	 0.205 	 0
4.70667e-06 	 0.206 	 0
4.71333e-06 	 0.207 	 0
4.72e-06 	 0.208 	 0
4.72667e-06 	 0.209 	 0
4.73333e-06 	 0.21 	 0
